ip,latitude,longitude,device_type,model,location_label,last_seen,port,org,country,region,poc_batch
10.0.0.16,6.188884,3.797248,PTZ Camera,Dahua SD49425XB,Lagos Sector 16,2025-11-28,8080,AT&T,NG,Africa,GLOBAL_500_V4
10.0.1.17,-1.693118,37.246013,PTZ Camera,Bosch FLEXIDOME,Nairobi Sector 17,2025-11-09,80,BT,KE,Africa,GLOBAL_500_V4
10.0.1.18,-26.522899,28.396747,IP Camera,Bosch FLEXIDOME,Johannesburg Sector 18,2025-04-24,8080,BT,ZA,Africa,GLOBAL_500_V4
10.0.1.19,33.846532,-7.546743,Dome Camera,Dahua SD49425XB,Casablanca Sector 19,2025-04-01,80,Comcast,MA,Africa,GLOBAL_500_V4
10.0.1.20,5.712135,-0.57822,IP Camera,Hikvision DS-2CD2085G1,Accra Sector 20,2025-03-29,554,Lumen,GH,Africa,GLOBAL_500_V4
10.0.1.21,24.846009,55.598463,Dome Camera,Axis P5655-E,Dubai Sector 1,2026-01-30,443,Lumen,AE,Middle East,GLOBAL_500_V4
10.0.1.22,25.064891,46.339281,Bullet Camera,Sony SNC-EP580,Riyadh Sector 2,2026-02-18,80,DigitalOcean,SA,Middle East,GLOBAL_500_V4
10.0.1.23,32.154185,34.393772,IP Camera,Hanwha XNV-8080R,Tel Aviv Sector 3,2026-02-12,443,Comcast,IL,Middle East,GLOBAL_500_V4
10.0.1.24,25.266852,51.463992,IP Camera,Bosch FLEXIDOME,Doha Sector 4,2026-02-12,554,Lumen,QA,Middle East,GLOBAL_500_V4
10.0.1.25,41.041618,29.411569,Bullet Camera,Hanwha XNV-8080R,Istanbul Sector 5,2025-11-23,554,DigitalOcean,TR,Middle East,GLOBAL_500_V4
10.0.1.26,28.234654,77.021739,PTZ Camera,Hikvision DS-2CD2085G1,Delhi Sector 6,2025-11-11,554,Airtel,IN,Asia,GLOBAL_500_V4
10.0.1.27,18.766406,73.043893,Bullet Camera,Bosch FLEXIDOME,Mumbai Sector 7,2025-11-06,443,DigitalOcean,IN,Asia,GLOBAL_500_V4
10.0.1.28,1.437891,103.492867,PTZ Camera,Hanwha XNV-8080R,Singapore Sector 8,2025-04-01,8080,Lumen,SG,Asia,GLOBAL_500_V4
10.0.1.29,35.387124,139.304158,IP Camera,Bosch FLEXIDOME,Tokyo Sector 9,2025-04-17,80,BT,JP,Asia,GLOBAL_500_V4
10.0.1.30,37.957627,126.64176,IP Camera,Bosch FLEXIDOME,Seoul Sector 10,2025-04-04,554,BT,KR,Asia,GLOBAL_500_V4
10.0.1.31,14.014745,100.894984,IP Camera,Sony SNC-EP580,Bangkok Sector 11,2026-01-30,80,Comcast,TH,Asia,GLOBAL_500_V4
10.0.1.32,-5.869788,107.254825,IP Camera,Hikvision DS-2CD2085G1,Jakarta Sector 12,2026-03-06,443,AT&T,ID,Asia,GLOBAL_500_V4
10.0.2.33,-34.257509,150.854401,Dome Camera,Dahua SD49425XB,Sydney Sector 13,2026-02-25,443,Cloudflare,AU,Oceania,GLOBAL_500_V4
10.0.2.34,-37.957905,144.819511,IP Camera,Axis P5655-E,Melbourne Sector 14,2026-01-08,443,Cloudflare,AU,Oceania,GLOBAL_500_V4
10.0.2.35,-37.150824,174.536339,PTZ Camera,Dahua SD49425XB,Auckland Sector 15,2025-11-06,443,Verizon,NZ,Oceania,GLOBAL_500_V4
10.0.2.36,-31.955684,115.966021,Bullet Camera,Axis P5655-E,Perth Sector 16,2025-11-02,8080,Verizon,AU,Oceania,GLOBAL_500_V4
10.0.2.37,38.720329,-77.133043,IP Camera,Sony SNC-EP580,Washington Sector 17,2025-12-03,80,Cloudflare,US,North America,GLOBAL_500_V4
10.0.2.38,40.90923,-73.77465,PTZ Camera,Hikvision DS-2CD2085G1,New York Sector 18,2025-06-19,443,Verizon,US,North America,GLOBAL_500_V4
10.0.2.39,19.710564,-99.194021,IP Camera,Axis P5655-E,Mexico City Sector 19,2025-07-11,554,Comcast,MX,North America,GLOBAL_500_V4
10.0.2.40,43.311329,-79.265351,IP Camera,Bosch FLEXIDOME,Toronto Sector 20,2025-08-19,554,Cloudflare,CA,North America,GLOBAL_500_V4
10.0.2.41,4.481114,-73.670948,IP Camera,Sony SNC-EP580,Bogota Sector 1,2025-12-29,554,Comcast,CO,South America,GLOBAL_500_V4
10.0.2.42,-11.783524,-77.060012,PTZ Camera,Hanwha XNV-8080R,Lima Sector 2,2026-01-02,80,Cloudflare,PE,South America,GLOBAL_500_V4
10.0.2.43,-23.311132,-46.643965,Dome Camera,Bosch FLEXIDOME,Sao Paulo Sector 3,2026-03-03,80,Comcast,BR,South America,GLOBAL_500_V4
10.0.2.44,-35.024965,-58.822551,Dome Camera,Bosch FLEXIDOME,Buenos Aires Sector 4,2026-01-08,443,Comcast,AR,South America,GLOBAL_500_V4
10.0.2.45,51.331387,-0.167796,PTZ Camera,Hikvision DS-2CD2085G1,London Sector 5,2025-10-19,443,Lumen,GB,Europe,GLOBAL_500_V4
10.0.2.46,48.728565,2.464487,IP Camera,Bosch FLEXIDOME,Paris Sector 6,2025-11-30,80,Comcast,FR,Europe,GLOBAL_500_V4
10.0.2.47,52.95754,13.295892,Dome Camera,Dahua SD49425XB,Berlin Sector 7,2025-11-26,554,Verizon,DE,Europe,GLOBAL_500_V4
10.0.2.48,40.79531,-3.613472,PTZ Camera,Hanwha XNV-8080R,Madrid Sector 8,2025-05-20,554,DigitalOcean,ES,Europe,GLOBAL_500_V4
10.0.3.49,41.665202,12.142707,PTZ Camera,Sony SNC-EP580,Rome Sector 9,2025-05-05,554,BT,IT,Europe,GLOBAL_500_V4
10.0.3.50,51.980446,20.693578,IP Camera,Sony SNC-EP580,Warsaw Sector 10,2025-06-04,80,Cloudflare,PL,Europe,GLOBAL_500_V4
10.0.3.51,29.709495,31.175216,PTZ Camera,Sony SNC-EP580,Cairo Sector 11,2026-02-09,80,Cloudflare,EG,Africa,GLOBAL_500_V4
10.0.3.52,6.401248,3.809839,Bullet Camera,Dahua SD49425XB,Lagos Sector 12,2026-02-01,80,Cloudflare,NG,Africa,GLOBAL_500_V4
10.0.3.53,-1.552768,36.759933,Dome Camera,Sony SNC-EP580,Nairobi Sector 13,2026-03-11,8080,DigitalOcean,KE,Africa,GLOBAL_500_V4
10.0.3.54,-26.049277,28.211174,PTZ Camera,Dahua SD49425XB,Johannesburg Sector 14,2026-01-01,443,BT,ZA,Africa,GLOBAL_500_V4
10.0.3.55,33.718382,-8.000318,IP Camera,Sony SNC-EP580,Casablanca Sector 15,2025-12-10,443,DigitalOcean,MA,Africa,GLOBAL_500_V4
10.0.3.56,5.446927,-0.259417,IP Camera,Sony SNC-EP580,Accra Sector 16,2025-10-27,554,DigitalOcean,GH,Africa,GLOBAL_500_V4
10.0.3.57,24.763955,54.875211,PTZ Camera,Hanwha XNV-8080R,Dubai Sector 17,2025-12-06,554,Airtel,AE,Middle East,GLOBAL_500_V4
10.0.3.58,24.402034,46.741257,Bullet Camera,Hikvision DS-2CD2085G1,Riyadh Sector 18,2025-04-26,80,Comcast,SA,Middle East,GLOBAL_500_V4
10.0.3.59,31.985484,34.424303,Dome Camera,Sony SNC-EP580,Tel Aviv Sector 19,2025-03-21,8080,Airtel,IL,Middle East,GLOBAL_500_V4
10.0.3.60,25.057221,51.835108,PTZ Camera,Hikvision DS-2CD2085G1,Doha Sector 20,2025-04-23,443,Comcast,QA,Middle East,GLOBAL_500_V4
10.0.3.61,41.409583,28.672616,Bullet Camera,Axis P5655-E,Istanbul Sector 1,2025-12-25,554,AT&T,TR,Middle East,GLOBAL_500_V4
10.0.3.62,28.668251,77.258282,Bullet Camera,Dahua SD49425XB,Delhi Sector 2,2026-01-05,443,Lumen,IN,Asia,GLOBAL_500_V4
10.0.3.63,19.07806,72.66452,Dome Camera,Axis P5655-E,Mumbai Sector 3,2026-03-12,554,Verizon,IN,Asia,GLOBAL_500_V4
10.0.3.64,1.140802,103.41863,Dome Camera,Dahua SD49425XB,Singapore Sector 4,2026-01-11,443,Lumen,SG,Asia,GLOBAL_500_V4
10.0.4.65,35.604989,139.523662,Bullet Camera,Bosch FLEXIDOME,Tokyo Sector 5,2025-11-13,80,AT&T,JP,Asia,GLOBAL_500_V4
10.0.4.66,37.810735,126.75836,Dome Camera,Dahua SD49425XB,Seoul Sector 6,2025-11-12,8080,BT,KR,Asia,GLOBAL_500_V4
10.0.4.67,14.150328,100.236312,IP Camera,Axis P5655-E,Bangkok Sector 7,2025-10-08,443,Verizon,TH,Asia,GLOBAL_500_V4
10.0.4.68,-6.543477,106.685793,Bullet Camera,Axis P5655-E,Jakarta Sector 8,2025-04-28,80,Airtel,ID,Asia,GLOBAL_500_V4
10.0.4.69,-33.853947,151.643537,Dome Camera,Hanwha XNV-8080R,Sydney Sector 9,2025-04-23,443,DigitalOcean,AU,Oceania,GLOBAL_500_V4
10.0.4.70,-37.971756,144.809426,PTZ Camera,Hanwha XNV-8080R,Melbourne Sector 10,2025-07-08,80,Cloudflare,AU,Oceania,GLOBAL_500_V4
10.0.4.71,-36.854068,174.387122,IP Camera,Axis P5655-E,Auckland Sector 11,2026-03-09,554,Airtel,NZ,Oceania,GLOBAL_500_V4
10.0.4.72,-31.829851,115.802491,PTZ Camera,Sony SNC-EP580,Perth Sector 12,2026-02-22,554,Verizon,AU,Oceania,GLOBAL_500_V4
10.0.4.73,38.940525,-77.32617,PTZ Camera,Axis P5655-E,Washington Sector 13,2026-01-18,8080,AT&T,US,North America,GLOBAL_500_V4
10.0.4.74,41.102365,-73.913106,IP Camera,Bosch FLEXIDOME,New York Sector 14,2025-12-30,8080,Comcast,US,North America,GLOBAL_500_V4
10.0.4.75,19.069308,-98.772921,Bullet Camera,Dahua SD49425XB,Mexico City Sector 15,2025-10-12,554,Cloudflare,MX,North America,GLOBAL_500_V4
10.0.4.76,43.59256,-79.768908,IP Camera,Hanwha XNV-8080R,Toronto Sector 16,2025-11-08,443,Verizon,CA,North America,GLOBAL_500_V4
10.0.4.77,5.047021,-73.838171,Bullet Camera,Hanwha XNV-8080R,Bogota Sector 17,2025-10-06,8080,Comcast,CO,South America,GLOBAL_500_V4
10.0.4.78,-12.44197,-76.673673,PTZ Camera,Dahua SD49425XB,Lima Sector 18,2025-04-19,443,Airtel,PE,South America,GLOBAL_500_V4
10.0.4.79,-23.412865,-46.640215,PTZ Camera,Bosch FLEXIDOME,Sao Paulo Sector 19,2025-05-02,8080,Comcast,BR,South America,GLOBAL_500_V4
10.0.4.80,-34.798321,-58.182068,Bullet Camera,Sony SNC-EP580,Buenos Aires Sector 20,2025-07-13,8080,Lumen,AR,South America,GLOBAL_500_V4
10.0.5.81,51.792888,0.284648,PTZ Camera,Dahua SD49425XB,London Sector 1,2026-01-27,80,Verizon,GB,Europe,GLOBAL_500_V4
10.0.5.82,48.96292,2.255917,Bullet Camera,Dahua SD49425XB,Paris Sector 2,2026-01-16,8080,Lumen,FR,Europe,GLOBAL_500_V4
10.0.5.83,52.659113,13.036348,IP Camera,Dahua SD49425XB,Berlin Sector 3,2026-01-24,8080,Verizon,DE,Europe,GLOBAL_500_V4
10.0.5.84,40.420184,-3.722071,Dome Camera,Sony SNC-EP580,Madrid Sector 4,2026-02-22,8080,Cloudflare,ES,Europe,GLOBAL_500_V4
10.0.5.85,42.007135,12.867217,IP Camera,Axis P5655-E,Rome Sector 5,2025-10-31,80,Cloudflare,IT,Europe,GLOBAL_500_V4
10.0.5.86,51.894926,21.188354,Dome Camera,Sony SNC-EP580,Warsaw Sector 6,2025-10-05,554,Comcast,PL,Europe,GLOBAL_500_V4
10.0.5.87,30.162324,31.085505,Dome Camera,Axis P5655-E,Cairo Sector 7,2025-10-11,554,AT&T,EG,Africa,GLOBAL_500_V4
10.0.5.88,6.175546,2.959452,Dome Camera,Hikvision DS-2CD2085G1,Lagos Sector 8,2025-04-13,8080,Airtel,NG,Africa,GLOBAL_500_V4
10.0.5.89,-1.018721,36.733829,PTZ Camera,Dahua SD49425XB,Nairobi Sector 9,2025-06-14,8080,Comcast,KE,Africa,GLOBAL_500_V4
10.0.5.90,-25.766111,28.264779,PTZ Camera,Bosch FLEXIDOME,Johannesburg Sector 10,2025-06-12,443,DigitalOcean,ZA,Africa,GLOBAL_500_V4
10.0.5.91,33.392515,-7.287852,PTZ Camera,Bosch FLEXIDOME,Casablanca Sector 11,2025-12-27,443,AT&T,MA,Africa,GLOBAL_500_V4
10.0.5.92,5.159572,-0.4131,IP Camera,Hanwha XNV-8080R,Accra Sector 12,2026-02-17,80,AT&T,GH,Africa,GLOBAL_500_V4
10.0.5.93,25.00587,55.086013,IP Camera,Axis P5655-E,Dubai Sector 13,2026-01-13,443,Verizon,AE,Middle East,GLOBAL_500_V4
10.0.5.94,24.306529,47.033785,Bullet Camera,Hikvision DS-2CD2085G1,Riyadh Sector 14,2026-01-19,443,Lumen,SA,Middle East,GLOBAL_500_V4
10.0.5.95,32.52829,35.134046,PTZ Camera,Bosch FLEXIDOME,Tel Aviv Sector 15,2025-11-08,554,DigitalOcean,IL,Middle East,GLOBAL_500_V4
10.0.5.96,25.430865,51.110684,IP Camera,Bosch FLEXIDOME,Doha Sector 16,2025-10-04,554,Lumen,QA,Middle East,GLOBAL_500_V4
10.0.6.97,41.067268,29.398084,PTZ Camera,Dahua SD49425XB,Istanbul Sector 17,2025-11-18,80,Verizon,TR,Middle East,GLOBAL_500_V4
10.0.6.98,29.054786,77.344427,IP Camera,Hanwha XNV-8080R,Delhi Sector 18,2025-06-14,443,AT&T,IN,Asia,GLOBAL_500_V4
10.0.6.99,18.92205,73.244423,PTZ Camera,Sony SNC-EP580,Mumbai Sector 19,2025-08-01,554,Comcast,IN,Asia,GLOBAL_500_V4
10.0.6.100,1.535296,104.114888,IP Camera,Sony SNC-EP580,Singapore Sector 20,2025-07-06,443,Verizon,SG,Asia,GLOBAL_500_V4
10.0.6.101,35.956624,139.346104,PTZ Camera,Sony SNC-EP580,Tokyo Sector 1,2026-02-12,8080,Airtel,JP,Asia,GLOBAL_500_V4
10.0.6.102,37.918196,126.636789,PTZ Camera,Hanwha XNV-8080R,Seoul Sector 2,2026-03-08,443,BT,KR,Asia,GLOBAL_500_V4
10.0.6.103,13.460893,100.561339,IP Camera,Dahua SD49425XB,Bangkok Sector 3,2026-01-30,80,AT&T,TH,Asia,GLOBAL_500_V4
10.0.6.104,-6.259955,107.173424,Bullet Camera,Hanwha XNV-8080R,Jakarta Sector 4,2026-02-27,8080,Cloudflare,ID,Asia,GLOBAL_500_V4
10.0.6.105,-33.708027,151.062258,Bullet Camera,Hikvision DS-2CD2085G1,Sydney Sector 5,2025-11-11,443,DigitalOcean,AU,Oceania,GLOBAL_500_V4
10.0.6.106,-37.931931,144.608205,Bullet Camera,Dahua SD49425XB,Melbourne Sector 6,2025-09-28,8080,Airtel,AU,Oceania,GLOBAL_500_V4
10.0.6.107,-36.531087,174.901506,IP Camera,Hikvision DS-2CD2085G1,Auckland Sector 7,2025-11-25,8080,Comcast,NZ,Oceania,GLOBAL_500_V4
10.0.6.108,-31.510326,115.790198,IP Camera,Axis P5655-E,Perth Sector 8,2025-07-04,80,Verizon,AU,Oceania,GLOBAL_500_V4
10.0.6.109,38.968233,-76.927488,Dome Camera,Hikvision DS-2CD2085G1,Washington Sector 9,2025-07-30,443,BT,US,North America,GLOBAL_500_V4
10.0.6.110,41.137337,-73.954259,Dome Camera,Hanwha XNV-8080R,New York Sector 10,2025-06-21,8080,Verizon,US,North America,GLOBAL_500_V4
10.0.6.111,19.058972,-99.546696,Dome Camera,Axis P5655-E,Mexico City Sector 11,2026-02-01,443,Cloudflare,MX,North America,GLOBAL_500_V4
10.0.6.112,44.049472,-79.019629,Dome Camera,Axis P5655-E,Toronto Sector 12,2026-01-19,80,Lumen,CA,North America,GLOBAL_500_V4
10.0.7.113,4.948857,-74.132184,Bullet Camera,Axis P5655-E,Bogota Sector 13,2026-01-23,8080,DigitalOcean,CO,South America,GLOBAL_500_V4
10.0.7.114,-12.066296,-77.375139,PTZ Camera,Bosch FLEXIDOME,Lima Sector 14,2026-01-26,443,Airtel,PE,South America,GLOBAL_500_V4
10.0.7.115,-23.248704,-46.930582,IP Camera,Dahua SD49425XB,Sao Paulo Sector 15,2025-12-06,80,Cloudflare,BR,South America,GLOBAL_500_V4
10.0.7.116,-34.413812,-58.48929,PTZ Camera,Sony SNC-EP580,Buenos Aires Sector 16,2025-11-03,554,Lumen,AR,South America,GLOBAL_500_V4
10.0.7.117,51.12552,-0.508032,Dome Camera,Dahua SD49425XB,London Sector 17,2025-10-15,554,BT,GB,Europe,GLOBAL_500_V4
10.0.7.118,49.182707,2.734038,Dome Camera,Sony SNC-EP580,Paris Sector 18,2025-08-05,80,Cloudflare,FR,Europe,GLOBAL_500_V4
10.0.7.119,52.23641,13.021263,IP Camera,Axis P5655-E,Berlin Sector 19,2025-05-07,80,Comcast,DE,Europe,GLOBAL_500_V4
10.0.7.120,40.433912,-3.582772,IP Camera,Dahua SD49425XB,Madrid Sector 20,2025-05-04,554,Airtel,ES,Europe,GLOBAL_500_V4
10.0.7.121,41.590996,12.618305,Dome Camera,Sony SNC-EP580,Rome Sector 1,2026-01-20,554,Verizon,IT,Europe,GLOBAL_500_V4
10.0.7.122,52.006798,21.358165,IP Camera,Axis P5655-E,Warsaw Sector 2,2026-01-04,80,Verizon,PL,Europe,GLOBAL_500_V4
10.0.7.123,29.858656,30.985594,Bullet Camera,Dahua SD49425XB,Cairo Sector 3,2026-03-04,8080,Cloudflare,EG,Africa,GLOBAL_500_V4
10.0.7.124,6.463567,3.028785,IP Camera,Bosch FLEXIDOME,Lagos Sector 4,2026-02-16,8080,DigitalOcean,NG,Africa,GLOBAL_500_V4
10.0.7.125,-1.348842,36.444148,PTZ Camera,Axis P5655-E,Nairobi Sector 5,2025-10-09,8080,Verizon,KE,Africa,GLOBAL_500_V4
10.0.7.126,-26.17083,28.467579,Dome Camera,Hanwha XNV-8080R,Johannesburg Sector 6,2025-11-12,8080,Airtel,ZA,Africa,GLOBAL_500_V4
10.0.7.127,33.363543,-7.252888,Bullet Camera,Dahua SD49425XB,Casablanca Sector 7,2025-09-28,554,Cloudflare,MA,Africa,GLOBAL_500_V4
10.0.7.128,5.254406,-0.251343,Bullet Camera,Sony SNC-EP580,Accra Sector 8,2025-05-13,80,DigitalOcean,GH,Africa,GLOBAL_500_V4
10.0.8.129,25.07664,55.631733,PTZ Camera,Bosch FLEXIDOME,Dubai Sector 9,2025-04-13,443,AT&T,AE,Middle East,GLOBAL_500_V4
10.0.8.130,24.94748,46.947721,Dome Camera,Bosch FLEXIDOME,Riyadh Sector 10,2025-06-18,443,Lumen,SA,Middle East,GLOBAL_500_V4
10.0.8.131,31.950397,34.889166,PTZ Camera,Hanwha XNV-8080R,Tel Aviv Sector 11,2026-01-25,8080,Verizon,IL,Middle East,GLOBAL_500_V4
10.0.8.132,24.936555,51.693458,Bullet Camera,Bosch FLEXIDOME,Doha Sector 12,2026-02-06,8080,Comcast,QA,Middle East,GLOBAL_500_V4
10.0.8.133,41.048456,29.389208,PTZ Camera,Axis P5655-E,Istanbul Sector 13,2025-12-28,80,DigitalOcean,TR,Middle East,GLOBAL_500_V4
10.0.8.134,29.029664,77.240457,Dome Camera,Bosch FLEXIDOME,Delhi Sector 14,2026-02-28,80,Cloudflare,IN,Asia,GLOBAL_500_V4
10.0.8.135,19.501275,73.287446,Dome Camera,Axis P5655-E,Mumbai Sector 15,2025-09-28,80,BT,IN,Asia,GLOBAL_500_V4
10.0.8.136,1.464086,103.887422,Dome Camera,Hikvision DS-2CD2085G1,Singapore Sector 16,2025-11-02,443,DigitalOcean,SG,Asia,GLOBAL_500_V4
10.0.8.137,35.997216,140.026611,IP Camera,Sony SNC-EP580,Tokyo Sector 17,2025-09-28,80,Cloudflare,JP,Asia,GLOBAL_500_V4
10.0.8.138,37.853829,127.216304,Dome Camera,Bosch FLEXIDOME,Seoul Sector 18,2025-06-02,80,Cloudflare,KR,Asia,GLOBAL_500_V4
10.0.8.139,13.739487,100.451021,IP Camera,Sony SNC-EP580,Bangkok Sector 19,2025-05-23,554,AT&T,TH,Asia,GLOBAL_500_V4
10.0.8.140,-5.789944,107.266034,Dome Camera,Axis P5655-E,Jakarta Sector 20,2025-04-07,8080,AT&T,ID,Asia,GLOBAL_500_V4
10.0.8.141,-33.749931,150.966405,PTZ Camera,Axis P5655-E,Sydney Sector 1,2026-01-21,443,Lumen,AU,Oceania,GLOBAL_500_V4
10.0.8.142,-38.088414,144.514071,Dome Camera,Axis P5655-E,Melbourne Sector 2,2025-12-30,8080,Lumen,AU,Oceania,GLOBAL_500_V4
10.0.8.143,-36.578638,175.043207,PTZ Camera,Bosch FLEXIDOME,Auckland Sector 3,2026-02-24,8080,AT&T,NZ,Oceania,GLOBAL_500_V4
10.0.8.144,-31.975703,115.456149,Dome Camera,Axis P5655-E,Perth Sector 4,2026-02-08,8080,Comcast,AU,Oceania,GLOBAL_500_V4
10.0.9.145,39.095533,-77.179551,IP Camera,Hikvision DS-2CD2085G1,Washington Sector 5,2025-12-06,8080,DigitalOcean,US,North America,GLOBAL_500_V4
10.0.9.146,41.091604,-74.155756,IP Camera,Dahua SD49425XB,New York Sector 6,2025-11-11,443,DigitalOcean,US,North America,GLOBAL_500_V4
10.0.9.147,19.016777,-99.123592,IP Camera,Hanwha XNV-8080R,Mexico City Sector 7,2025-10-27,554,Cloudflare,MX,North America,GLOBAL_500_V4
10.0.9.148,43.699017,-79.807047,PTZ Camera,Hikvision DS-2CD2085G1,Toronto Sector 8,2025-07-31,8080,Airtel,CA,North America,GLOBAL_500_V4
10.0.9.149,4.809711,-73.892798,PTZ Camera,Sony SNC-EP580,Bogota Sector 9,2025-07-11,443,AT&T,CO,South America,GLOBAL_500_V4
10.0.9.150,-11.802025,-77.284523,Dome Camera,Hanwha XNV-8080R,Lima Sector 10,2025-05-04,554,AT&T,PE,South America,GLOBAL_500_V4
10.0.9.151,-23.266808,-46.861306,PTZ Camera,Sony SNC-EP580,Sao Paulo Sector 11,2026-02-27,80,Airtel,BR,South America,GLOBAL_500_V4
10.0.9.152,-34.932674,-58.07924,IP Camera,Hikvision DS-2CD2085G1,Buenos Aires Sector 12,2026-02-08,443,Comcast,AR,South America,GLOBAL_500_V4
10.0.9.153,51.123371,-0.266387,IP Camera,Dahua SD49425XB,London Sector 13,2026-02-02,80,Airtel,GB,Europe,GLOBAL_500_V4
10.0.9.154,49.081768,2.440351,Bullet Camera,Axis P5655-E,Paris Sector 14,2026-01-14,8080,Lumen,FR,Europe,GLOBAL_500_V4
10.0.9.155,52.810156,13.699234,Bullet Camera,Dahua SD49425XB,Berlin Sector 15,2025-10-26,554,AT&T,DE,Europe,GLOBAL_500_V4
10.0.9.156,40.104133,-3.435077,Bullet Camera,Hanwha XNV-8080R,Madrid Sector 16,2025-10-09,443,Verizon,ES,Europe,GLOBAL_500_V4
10.0.9.157,41.544797,12.553183,IP Camera,Sony SNC-EP580,Rome Sector 17,2025-11-18,554,Comcast,IT,Europe,GLOBAL_500_V4
10.0.9.158,51.900199,20.592795,Dome Camera,Hikvision DS-2CD2085G1,Warsaw Sector 18,2025-03-31,443,Verizon,PL,Europe,GLOBAL_500_V4
10.0.9.159,30.458673,30.802547,Dome Camera,Sony SNC-EP580,Cairo Sector 19,2025-05-06,8080,BT,EG,Africa,GLOBAL_500_V4
10.0.9.160,6.632099,3.577427,Bullet Camera,Sony SNC-EP580,Lagos Sector 20,2025-08-23,8080,Lumen,NG,Africa,GLOBAL_500_V4
10.0.10.161,-1.732458,36.726032,IP Camera,Hanwha XNV-8080R,Nairobi Sector 1,2026-03-07,554,Cloudflare,KE,Africa,GLOBAL_500_V4
10.0.10.162,-26.301651,28.216988,Dome Camera,Hikvision DS-2CD2085G1,Johannesburg Sector 2,2026-01-18,554,DigitalOcean,ZA,Africa,GLOBAL_500_V4
10.0.10.163,33.288136,-7.947778,Dome Camera,Dahua SD49425XB,Casablanca Sector 3,2026-01-30,80,Lumen,MA,Africa,GLOBAL_500_V4
10.0.10.164,5.548656,-0.291489,Dome Camera,Bosch FLEXIDOME,Accra Sector 4,2026-02-06,80,BT,GH,Africa,GLOBAL_500_V4
10.0.10.165,25.253949,54.838588,Bullet Camera,Sony SNC-EP580,Dubai Sector 5,2025-11-11,554,Verizon,AE,Middle East,GLOBAL_500_V4
10.0.10.166,24.830944,46.326091,PTZ Camera,Hikvision DS-2CD2085G1,Riyadh Sector 6,2025-12-04,80,Comcast,SA,Middle East,GLOBAL_500_V4
10.0.10.167,31.66181,34.46997,PTZ Camera,Dahua SD49425XB,Tel Aviv Sector 7,2025-11-18,8080,Lumen,IL,Middle East,GLOBAL_500_V4
10.0.10.168,25.655995,51.770108,Bullet Camera,Hikvision DS-2CD2085G1,Doha Sector 8,2025-07-19,554,Airtel,QA,Middle East,GLOBAL_500_V4
10.0.10.169,40.737677,29.149192,Dome Camera,Hanwha XNV-8080R,Istanbul Sector 9,2025-05-08,554,Comcast,TR,Middle East,GLOBAL_500_V4
10.0.10.170,28.979832,77.54391,PTZ Camera,Axis P5655-E,Delhi Sector 10,2025-09-01,80,AT&T,IN,Asia,GLOBAL_500_V4
